ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
South Africa,2020-04-01T00:00:00.000Z,1380,5,85452,25.08871199,-28.99321352,South Africa,南非,Afrique du Sud,Sudáfrica,Южная Африка,جنوب أفريقيا
Algeria,2020-04-01T00:00:00.000Z,847,58,85453,2.63236595,28.16335741,Algeria,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
Réunion,2020-04-01T00:00:00.000Z,281,0,85454,55.53821274,-21.12162946,Réunion,"留尼汪岛
",,,,
Burkina Faso,2020-04-01T00:00:00.000Z,261,14,85455,-1.73983521,12.27793715,Burkina Faso,布基纳法索,Burkina Faso,Burkina Faso,Буркина-Фасо,بوركينا فاسو
Ghana,2020-04-01T00:00:00.000Z,195,5,85456,-1.20704619,7.95964382,Ghana,加纳,Ghana,Ghana,Гана,غانا
Côte d’Ivoire,2020-04-01T00:00:00.000Z,190,0,85457,-5.55549992,7.6317253,Côte d’Ivoire,科特迪瓦,Côte d'Ivoire,Côte d'Ivoire,Кот-д'Ивуар,كوت ديفوار
Senegal,2020-04-01T00:00:00.000Z,190,1,85458,-14.46817708,14.36697954,Senegal,塞内加尔,Sénégal,Senegal,Сенегал,السنغال
Mauritius,2020-04-01T00:00:00.000Z,154,5,85459,57.868476,-20.1700678,Mauritius,毛里求斯,Maurice,Mauricio,Маврикий,موريشيوس
Cameroon,2020-04-01T00:00:00.000Z,139,6,85460,12.7432535,5.68580436,Cameroon,喀麦隆,Cameroun,Camerún,Камерун,الكاميرون
Nigeria,2020-04-01T00:00:00.000Z,124,1,85461,8.10527726,9.59360399,Nigeria,尼日利亚,Nigéria,Nigeria,Нигерия,نيجيريا
Democratic Republic of the Congo,2020-04-01T00:00:00.000Z,123,11,85462,23.65431545,-2.87622576,Democratic Republic of the Congo,刚果民主共和国,République démocratique du Congo,República Democrática del Congo,Демократическая Республика Конго,جمهورية الكونغو الديمقراطية 
Mayotte,2020-04-01T00:00:00.000Z,116,2,85463,45.13926174,-12.81835006,Mayotte,"马约特岛
",,,,
Rwanda,2020-04-01T00:00:00.000Z,82,0,85464,29.91720553,-1.99796798,Rwanda,卢旺达,Rwanda,Rwanda,Руанда,رواندا
Kenya,2020-04-01T00:00:00.000Z,81,1,85465,37.85786442,0.52978018,Kenya,肯尼亚,Kenya,Kenya,Кения,كينيا
Niger,2020-04-01T00:00:00.000Z,74,5,85466,9.39765754,17.42632282,Niger,尼日尔,Niger,Níger,Нигер,النيجر
Madagascar,2020-04-01T00:00:00.000Z,53,0,85467,46.70599248,-19.37352133,Madagascar,马达加斯加,Madagascar,Madagascar,Мадагаскар,مدغشقر
Uganda,2020-04-01T00:00:00.000Z,44,0,85468,32.38622999,1.28008463,Uganda,乌干达,Ouganda,Uganda,Уганда,أوغندا
Togo,2020-04-01T00:00:00.000Z,36,2,85469,0.97584596,8.53491037,Togo,多哥,Togo,Togo (el),Того,توغو
Zambia,2020-04-01T00:00:00.000Z,36,0,85470,27.79788004,-13.45307543,Zambia,赞比亚,Zambie,Zambia,Замбия,زامبيا
Guinea,2020-04-01T00:00:00.000Z,30,0,85471,-10.94182542,10.43854094,Guinea,几内亚,Guinée,Guinea,Гвинея,غينيا
Mali,2020-04-01T00:00:00.000Z,28,0,85472,-3.52433672,17.35036933,Mali,马里,Mali,Malí,Мали,مالي
Ethiopia,2020-04-01T00:00:00.000Z,26,0,85473,39.61601894,8.62613927,Ethiopia,埃塞俄比亚,Éthiopie,Etiopía,Эфиопия,إثيوبيا
Congo,2020-04-01T00:00:00.000Z,22,2,85474,15.22427459,-0.84006603,Congo,刚果,Congo,Congo (el),Конго,الكونغو
United Republic of Tanzania,2020-04-01T00:00:00.000Z,20,1,85475,34.82340201,-6.27019905,United Republic of Tanzania,坦桑尼亚联合共和国,République-Unie de Tanzanie,República Unida de Tanzanía,Объединенная Республика Танзания,جمهورية تنزانيا المتحدة
Eritrea,2020-04-01T00:00:00.000Z,15,0,85476,38.85292555,15.35884102,Eritrea,厄立特里亚,Érythrée,Eritrea,Эритрея,إريتريا
Equatorial Guinea,2020-04-01T00:00:00.000Z,14,0,85477,10.33849628,1.7101686,Equatorial Guinea,赤道几内亚,Guinée équatoriale,Guinea Ecuatorial,Экваториальная Гвинея,غينيا الاستوائية
Benin,2020-04-01T00:00:00.000Z,13,0,85478,2.34326271,9.64764997,Benin,贝宁,Bénin,Benin,Бенин,بنن
Namibia,2020-04-01T00:00:00.000Z,11,0,85479,17.21845028,-22.13329329,Namibia,纳米比亚,Namibie,Namibia,Намибия,ناميبيا
Mozambique,2020-04-01T00:00:00.000Z,10,0,85480,35.55226053,-17.26019392,Mozambique,莫桑比克,Mozambique,Mozambique,Мозамбик,موزامبيق
Seychelles,2020-04-01T00:00:00.000Z,10,0,85481,52.23005901,-6.39906405,Seychelles,塞舌尔,Seychelles,Seychelles,Сейшельские Острова,سيشيل
Eswatini,2020-04-01T00:00:00.000Z,9,0,85482,31.4971888,-26.56211674,Eswatini,斯威士兰,Eswatini,Eswatini,Эсватини,إسواتيني
Guinea-Bissau,2020-04-01T00:00:00.000Z,9,0,85483,-14.98748401,12.0161983,Guinea-Bissau,几内亚比绍,Guinée-Bissau,Guinea-Bissau,Гвинея-Бисау,غينيا - بيساو
Angola,2020-04-01T00:00:00.000Z,8,2,85484,17.54379621,-12.29575318,Angola,安哥拉,Angola,Angola,Ангола,أنغولا
Central African Republic,2020-04-01T00:00:00.000Z,8,0,85485,20.48278081,6.57145342,Central African Republic,中非共和国,République centrafricaine,República Centroafricana,Центральноафриканская Республика,جمهورية أفريقيا الوسطى
Zimbabwe,2020-04-01T00:00:00.000Z,8,1,85486,29.87175983,-19.00000577,Zimbabwe,津巴布韦,Zimbabwe,Zimbabwe,Зимбабве,زمبابوي
Chad,2020-04-01T00:00:00.000Z,7,0,85487,18.66460339,15.3611457,Chad,乍得,Tchad,Chad (el),Чад,تشاد
Gabon,2020-04-01T00:00:00.000Z,7,1,85488,11.79715762,-0.59067797,Gabon,加蓬,Gabon,Gabón,Габон,غابون
Liberia,2020-04-01T00:00:00.000Z,6,0,85489,-9.30784656,6.44811846,Liberia,利比里亚,Libéria,Liberia,Либерия,ليبريا
Cabo Verde,2020-04-01T00:00:00.000Z,5,1,85490,-23.545,14.928,Cabo Verde,佛得角,Cabo Verde,Cabo Verde,Кабо-Верде,كابو فيردي
Mauritania,2020-04-01T00:00:00.000Z,5,0,85491,-10.33226041,20.25990361,Mauritania,毛里塔尼亚,Mauritanie,Mauritania,Мавритания,موريتانيا
Botswana,2020-04-01T00:00:00.000Z,3,1,85492,23.8150775,-22.18204202,Botswana,博茨瓦纳,Botswana,Botswana,Ботсвана,بوتسوانا
Gambia,2020-04-01T00:00:00.000Z,3,1,85493,-15.3856196,13.4529444,Gambia,冈比亚,Gambie,Gambia,Гамбия,غامبيا
Burundi,2020-04-01T00:00:00.000Z,2,0,85494,29.88682139,-3.35629712,Burundi,布隆迪,Burundi,Burundi,Бурунди,بوروندي
Sierra Leone,2020-04-01T00:00:00.000Z,2,0,85495,-11.7921029,8.56034092,Sierra Leone,塞拉利昂,Sierra Leone,Sierra Leona,Сьерра-Леоне,سيراليون
International conveyance (Diamond Princess),2020-04-01T00:00:00.000Z,712,7,85502,,,International conveyance (Diamond Princess),国际交通工具（“钻石公主号”邮轮）),,,,
